Nome,Tipo,Habilidades,Geração
Bronzong,"Metal, Psíquico","Investida de Pedra, Confusão",Quarta
Bonsly,"Rocha","Pedra Afiada, Investida de Pedra",Quarta
Mime Jr.,"Psíquico, Fada","Confusão, Bola Sombria",Quarta
Happiny,"Normal","Investida, Hiper Raio",Quarta
Chatot,"Normal, Voador","Investida, Vento Cortante",Quarta
Spiritomb,"Fantasma, Noturno","Bola Sombria, Investida de Ácido",Quarta
Gible,"Dragão, Terrestre","Garra Dragônica, Investida de Pedra",Quarta
Gabite,"Dragão, Terrestre","Garra Dragônica, Investida de Pedra",Quarta
Garchomp,"Dragão, Terrestre","Garra Dragônica, Investida de Pedra",Quarta
Munchlax,"Normal","Investida, Hiper Raio",Quarta
Riolu,"Lutador","Soco Dinâmico, Investida",Quarta
Lucario,"Lutador, Aço","Soco Dinâmico, Investida",Quarta
Hippopotas,"Terrestre","Investida de Areia, Terremoto",Quarta
Hippowdon,"Terrestre","Investida de Areia, Terremoto",Quarta
Skorupi,"Venenoso, Terrestre","Presa Venenosa, Investida de Pedra",Quarta
Drapion,"Venenoso, Noturno","Presa Venenosa, Punho Sombrio",Quarta
Croagunk,"Venenoso, Lutador","Presa Venenosa, Soco Dinâmico",Quarta
Toxicroak,"Venenoso, Lutador","Presa Venenosa, Soco Dinâmico",Quarta
Carnivine,"Planta","Raio Solar, Investida de Folhas",Quarta
Finneon,"Água","Surf, Jato de Água",Quarta
Lumineon,"Água","Surf, Jato de Água",Quarta
Mantyke,"Água, Voador","Surf, Vento Cortante",Quarta
Snover,"Gelo, Planta","Raio de Gelo, Investida de Folhas",Quarta
Abomasnow,"Gelo, Planta","Raio de Gelo, Investida de Folhas",Quarta
Weavile,"Noturno, Gelo","Punho Sombrio, Raio de Gelo",Quarta
Magnezone,"Elétrico, Metal","Raio Veloz, Investida de Pedra",Quarta
Lickilicky,"Normal","Investida, Hiper Raio",Quarta
Rhyperior,"Terrestre, Rocha","Investida de Pedra, Terremoto",Quarta
Tangrowth,"Planta","Raio Solar, Investida de Folhas",Quarta
Electivire,"Elétrico","Raio Veloz, Choque do Trovão",Quarta
Magmortar,"Fogo","Chama, Investida de Fogo",Quarta
Togekiss,"Fada, Voador","Confusão, Vento Cortante",Quarta
Yanmega,"Inseto, Voador","Investida, Vento Cortante",Quarta
Leafeon,"Planta","Raio Solar, Investida de Folhas",Quarta
Glaceon,"Gelo","Raio de Gelo, Confusão",Quarta
Gliscor,"Terrestre, Voador","Investida de Pedra, Vento Cortante",Quarta
Mamoswine,"Gelo, Terrestre","Raio de Gelo, Terremoto",Quarta
Porygon-Z,"Normal","Investida, Raio Psíquico",Quarta
Gallade,"Psíquico, Lutador","Confusão, Soco Dinâmico",Quarta
Probopass,"Rocha, Metal","Pedra Afiada, Investida de Pedra",Quarta
Dusknoir,"Fantasma","Bola Sombria, Confusão",Quarta
Froslass,"Gelo, Fantasma","Raio de Gelo, Confusão",Quarta
Rotom,"Elétrico, Fantasma","Raio Veloz, Bola Sombria",Quarta
Uxie,"Psíquico","Confusão, Raio Psíquico",Quarta
Mesprit,"Psíquico","Confusão, Raio Psíquico",Quarta
Azelf,"Psíquico","Confusão, Raio Psíquico",Quarta
Dialga,"Dragão, Metal","Garra Dragônica, Investida de Pedra",Quarta
Palkia,"Água, Dragão","Surf, Garra Dragônica",Quarta
Heatran,"Fogo, Metal","Chama, Investida de Pedra",Quarta
Regigigas,"Normal","Investida, Terremoto",Quarta
Giratina,"Fantasma, Dragão","Bola Sombria, Garra Dragônica",Quarta
Cresselia,"Psíquico","Confusão, Raio Psíquico",Quarta
Phione,"Água","Surf, Jato de Água",Quarta
Manaphy,"Água","Surf, Jato de Água",Quarta
Darkrai,"Noturno","Punho Sombrio, Bola Sombria",Quarta
Shaymin,"Planta","Raio Solar, Investida de Folhas",Quarta
Arceus,"Normal","Investida, Raio Psíquico",Quarta
Victini,"Psíquico, Fogo","Confusão, Chama",Quarta
Snivy,"Planta","Raio Solar, Investida de Folhas",Quarta
Servine,"Planta","Raio Solar, Investida de Folhas",Quarta
Serperior,"Planta","Raio Solar, Investida de Folhas",Quarta
Tepig,"Fogo","Chama, Investida de Fogo",Quarta
Pignite,"Fogo, Lutador","Chama, Soco Dinâmico",Quarta
Emboar,"Fogo, Lutador","Chama, Soco Dinâmico",Quarta
Oshawott,"Água","Surf, Jato de Água",Quarta
Dewott,"Água","Surf, Jato de Água",Quarta
Samurott,"Água","Surf, Jato de Água",Quarta
Patrat,"Normal","Investida, Mordida",Quarta
Watchog,"Normal","Investida, Mordida",Quarta
Lillipup,"Normal","Investida, Mordida",Quarta
Herdier,"Normal","Investida, Mordida",Quarta
Stoutland,"Normal","Investida, Mordida",Quarta
Purrloin,"Noturno","Punho Sombrio, Investida",Quarta
Liepard,"Noturno","Punho Sombrio, Investida",Quarta
Pansage,"Planta","Raio Solar, Investida de Folhas",Quarta
Simisage,"Planta","Raio Solar, Investida de Folhas",Quarta
Pansear,"Fogo","Chama, Investida de Fogo",Quarta
Simisear,"Fogo","Chama, Investida de Fogo",Quarta
Panpour,"Água","Surf, Jato de Água",Quarta
Simipour,"Água","Surf, Jato de Água",Quarta
Munna,"Psíquico","Confusão, Raio Psíquico",Quarta
Musharna,"Psíquico","Confusão, Raio Psíquico",Quarta
Pidove,"Normal, Voador","Investida, Vento Cortante",Quarta
Tranquill,"Normal, Voador","Investida, Vento Cortante",Quarta
Unfezant,"Normal, Voador","Investida, Vento Cortante",Quarta
Blitzle,"Elétrico","Raio Veloz, Choque do Trovão",Quarta
Zebstrika,"Elétrico","Raio Veloz, Choque do Trovão",Quarta
Roggenrola,"Rocha","Pedra Afiada, Investida de Pedra",Quarta
Boldore,"Rocha","Pedra Afiada, Investida de Pedra",Quarta
Gigalith,"Rocha","Pedra Afiada, Investida de Pedra",Quarta
Woobat,"Psíquico, Voador","Confusão, Vento Cortante",Quarta
Swoobat,"Psíquico, Voador","Confusão, Vento Cortante",Quarta
Drilbur,"Terrestre","Investida de Areia, Terremoto",Quarta
Excadrill,"Terrestre, Metal","Investida de Pedra, Terremoto",Quarta
Audino,"Normal","Investida, Hiper Raio",Quarta
Timburr,"Lutador","Soco Dinâmico, Investida",Quarta
Gurdurr,"Lutador","Soco Dinâmico, Investida",Quarta
Conkeldurr,"Lutador","Soco Dinâmico, Investida",Quarta
Tympole,"Água","Surf, Jato de Água",Quarta
Palpitoad,"Água, Terrestre","Surf, Terremoto",Quarta
Seismitoad,"Água, Terrestre","Surf, Terremoto",Quarta
Throh,"Lutador","Soco Dinâmico, Investida",Quarta
Sawk,"Lutador","Soco Dinâmico, Investida",Quarta
Sewaddle,"Inseto, Planta","Investida, Agulha Dupla",Quarta
Swadloon,"Inseto, Planta","Investida, Agulha Dupla",Quarta
Leavanny,"Inseto, Planta","Investida, Agulha Dupla",Quarta
Venipede,"Inseto, Venenoso","Investida, Agulha Dupla",Quarta
Whirlipede,"Inseto, Venenoso","Investida, Agulha Dupla",Quarta
Scolipede,"Inseto, Venenoso","Investida, Agulha Dupla",Quarta
Cottonee,"Planta, Fada","Raio Solar, Investida de Folhas",Quarta
Whimsicott,"Planta, Fada","Raio Solar, Investida de Folhas",Quarta
Petilil,"Planta","Raio Solar, Investida de Folhas",Quarta
Lilligant,"Planta","Raio Solar, Investida de Folhas",Quarta
Basculin,"Água","Surf, Jato de Água",Quarta
Sandile,"Terrestre, Noturno","Investida de Areia, Mordida",Quarta
Krokorok,"Terrestre, Noturno","Investida de Areia, Mordida",Quarta
Krookodile,"Terrestre, Noturno","Investida de Areia, Mordida",Quarta
Darumaka,"Fogo","Chama, Investida de Fogo",Quarta
Darmanitan,"Fogo","Chama, Investida de Fogo",Quarta
Maractus,"Planta","Raio Solar, Investida de Folhas",Quarta
Dwebble,"Inseto, Rocha","Investida, Pedra Afiada",Quarta
Crustle,"Inseto, Rocha","Investida, Pedra Afiada",Quarta
Scraggy,"Noturno, Lutador","Punho Sombrio, Soco Dinâmico",Quarta
Scrafty,"Noturno, Lutador","Punho Sombrio, Soco Dinâmico",Quarta
Sigilyph,"Psíquico, Voador","Confusão, Vento Cortante",Quarta
Yamask,"Fantasma","Bola Sombria, Confusão",Quarta
Cofagrigus,"Fantasma","Bola Sombria, Confusão",Quarta
Tirtouga,"Água, Rocha","Surf, Investida de Pedra",Quarta
Carracosta,"Água, Rocha","Surf, Investida de Pedra",Quarta
Archen,"Pedra, Voador","Pedra Afiada, Vento Cortante",Quarta
Archeops,"Pedra, Voador","Pedra Afiada, Vento Cortante",Quarta
Trubbish,"Venenoso","Presa Venenosa, Investida de Ácido",Quarta
Garbodor,"Venenoso","Presa Venenosa, Investida de Ácido",Quarta
Zorua,"Noturno","Punho Sombrio, Investida",Quarta
Zoroark,"Noturno","Punho Sombrio, Investida",Quarta
Minccino,"Normal","Investida, Mordida",Quarta
Cinccino,"Normal","Investida, Mordida",Quarta
Gothita,"Psíquico","Confusão, Raio Psíquico",Quarta
Gothorita,"Psíquico","Confusão, Raio Psíquico",Quarta
Gothitelle,"Psíquico","Confusão, Raio Psíquico",Quarta
Solosis,"Psíquico","Confusão, Raio Psíquico",Quarta
Duosion,"Psíquico","Confusão, Raio Psíquico",Quarta
Reuniclus,"Psíquico","Confusão, Raio Psíquico",Quarta
Ducklett,"Água, Voador","Surf, Vento Cortante",Quarta
Swanna,"Água, Voador","Surf, Vento Cortante",Quarta
Vanillite,"Gelo","Raio de Gelo, Confusão",Quarta
Vanillish,"Gelo","Raio de Gelo, Confusão",Quarta
Vanilluxe,"Gelo","Raio de Gelo, Confusão",Quarta
Deerling,"Normal, Planta","Investida, Raio Solar",Quarta
Sawsbuck,"Normal, Planta","Investida, Raio Solar",Quarta
Emolga,"Elétrico, Voador","Raio Veloz, Vento Cortante",Quarta
Karrablast,"Inseto","Investida, Agulha Dupla",Quarta
Escavalier,"Inseto, Metal","Investida, Agulha Dupla",Quarta
Foongus,"Planta, Venenoso","Raio Solar, Presa Venenosa",Quarta
Amoonguss,"Planta, Venenoso","Raio Solar, Presa Venenosa",Quarta
Frillish,"Água, Fantasma","Surf, Bola Sombria",Quarta
Jellicent,"Água, Fantasma","Surf, Bola Sombria",Quarta
Alomomola,"Água","Surf, Jato de Água",Quarta
Joltik,"Inseto, Elétrico","Raio Veloz, Agulha Dupla",Quarta
Galvantula,"Inseto, Elétrico","Raio Veloz, Agulha Dupla",Quarta
Ferroseed,"Metal, Planta","Investida de Pedra, Agulha Dupla",Quarta
Ferrothorn,"Metal, Planta","Investida de Pedra, Agulha Dupla",Quarta
Klink,"Metal","Investida de Pedra, Choque do Trovão",Quarta
Klang,"Metal","Investida de Pedra, Choque do Trovão",Quarta
Klinklang,"Metal","Investida de Pedra, Choque do Trovão",Quarta
Tynamo,"Elétrico","Raio Veloz, Choque do Trovão",Quarta
Eelektrik,"Elétrico","Raio Veloz, Choque do Trovão",Quarta
Eelektross,"Elétrico","Raio Veloz, Choque do Trovão",Quarta
Elgyem,"Psíquico","Confusão, Raio Psíquico",Quarta
Beheeyem,"Psíquico","Confusão, Raio Psíquico",Quarta
Litwick,"Fantasma, Fogo","Bola Sombria, Chama",Quarta
Lampent,"Fantasma, Fogo","Bola Sombria, Chama",Quarta
Chandelure,"Fantasma, Fogo","Bola Sombria, Chama",Quarta
Axew,"Dragão","Garra Dragônica, Investida de Pedra",Quarta
Fraxure,"Dragão","Garra Dragônica, Investida de Pedra",Quarta
Haxorus,"Dragão","Garra Dragônica, Investida de Pedra",Quarta
Cubchoo,"Gelo","Raio de Gelo, Confusão",Quarta
Beartic,"Gelo","Raio de Gelo, Confusão",Quarta
Cryogonal,"Gelo","Raio de Gelo, Confusão",Quarta
Shelmet,"Inseto","Investida, Agulha Dupla",Quarta
Accelgor,"Inseto","Investida, Agulha Dupla",Quarta
Stunfisk,"Elétrico, Terrestre","Raio Veloz, Investida de Pedra",Quarta
Mienfoo,"Lutador","Soco Dinâmico, Investida",Quarta
Mienshao,"Lutador","Soco Dinâmico, Investida",Quarta
Druddigon,"Dragão","Garra Dragônica, Investida de Pedra",Quarta
Golett,"Terrestre, Fantasma","Investida de Pedra, Soco Dinâmico",Quarta
Golurk,"Terrestre, Fantasma","Investida de Pedra, Soco Dinâmico",Quarta
Pawniard,"Sombrio, Metal","Punho Sombrio, Investida de Pedra",Quarta
Bisharp,"Sombrio, Metal","Punho Sombrio, Investida de Pedra",Quarta
Bouffalant,"Normal","Investida, Mordida",Quarta
Rufflet,"Normal, Voador","Investida, Vento Cortante",Quarta
Braviary,"Normal, Voador","Investida, Vento Cortante",Quarta
Vullaby,"Noturno, Voador","Punho Sombrio, Vento Cortante",Quarta
Mandibuzz,"Noturno, Voador","Punho Sombrio, Vento Cortante",Quarta
Heatmor,"Fogo","Chama, Investida de Fogo",Quarta
Durant,"Inseto, Metal","Investida, Agulha Dupla",Quarta
Deino,"Sombrio, Dragão","Punho Sombrio, Garra Dragônica",Quarta
Zweilous,"Sombrio, Dragão","Punho Sombrio, Garra Dragônica",Quarta
Hydreigon,"Sombrio, Dragão","Punho Sombrio, Garra Dragônica",Quarta
Larvesta,"Inseto, Fogo","Investida, Chama",Quarta
Volcarona,"Inseto, Fogo","Investida, Chama",Quarta
Cobalion,"Metal, Lutador","Investida de Pedra, Soco Dinâmico",Quarta
Terrakion,"Pedra, Lutador","Pedra Afiada, Soco Dinâmico",Quarta
Virizion,"Planta, Lutador","Raio Solar, Soco Dinâmico",Quarta
Tornadus,"Voador","Investida, Vento Cortante",Quarta
Thundurus,"Elétrico, Voador","Raio Veloz, Vento Cortante",Quarta
Reshiram,"Dragão, Fogo","Garra Dragônica, Chama",Quarta
Zekrom,"Dragão, Elétrico","Garra Dragônica, Raio Veloz",Quarta
Landorus,"Terrestre, Voador","Investida de Pedra, Vento Cortante",Quarta
Kyurem,"Gelo, Dragão","Raio de Gelo, Garra Dragônica",Quarta
Keldeo,"Água, Lutador","Surf, Soco Dinâmico",Quarta
Meloetta,"Normal, Psíquico","Investida, Confusão",Quarta
Genesect,"Inseto, Metal","Investida de Pedra, Agulha Dupla",Quarta
Chespin,"Planta","Raio Solar, Investida de Folhas",Quarta
Quilladin,"Planta","Raio Solar, Investida de Folhas",Quarta
Chesnaught,"Planta, Lutador","Raio Solar, Investida de Folhas",Quarta
Fennekin,"Fogo","Chama, Investida de Fogo",Quarta
Braixen,"Fogo","Chama, Investida de Fogo",Quarta
Delphox,"Fogo, Psíquico","Chama, Confusão",Quarta
Froakie,"Água","Surf, Jato de Água",Quarta
Frogadier,"Água","Surf, Jato de Água",Quarta
Greninja,"Água, Noturno","Surf, Soco Dinâmico",Quarta
Bunnelby,"Normal","Investida, Mordida",Quarta
Diggersby,"Normal, Terrestre","Investida, Mordida",Quarta
Fletchling,"Normal, Voador","Investida, Vento Cortante",Quarta
Fletchinder,"Fogo, Voador","Chama, Vento Cortante",Quarta
Talonflame,"Fogo, Voador","Chama, Vento Cortante",Quarta
Scatterbug,"Inseto","Investida, Agulha Dupla",Quarta
Spewpa,"Inseto","Investida, Agulha Dupla",Quarta
Vivillon,"Inseto, Voador","Investida, Vento Cortante",Quarta
Litleo,"Fogo, Normal","Chama, Mordida",Quarta
Pyroar,"Fogo, Normal","Chama, Mordida",Quarta
Flabébé,"Fada","Investida, Raio Solar",Quarta
Floette,"Fada","Investida, Raio Solar",Quarta
Florges,"Fada","Investida, Raio Solar",Quarta
Skiddo,"Planta","Raio Solar, Investida de Folhas",Quarta
Gogoat,"Planta","Raio Solar, Investida de Folhas",Quarta
Pancham,"Lutador","Soco Dinâmico, Investida",Quarta
Pangoro,"Lutador, Noturno","Soco Dinâmico, Punho Sombrio",Quarta
Furfrou,"Normal","Investida, Mordida",Quarta
Espurr,"Psíquico","Confusão, Investida",Quarta
Meowstic,"Psíquico","Confusão, Investida",Quarta
Honedge,"Aço, Fantasma","Investida de Pedra, Soco Dinâmico",Quarta
Doublade,"Aço, Fantasma","Investida de Pedra, Soco Dinâmico",Quarta
Aegislash,"Aço, Fantasma","Investida de Pedra, Soco Dinâmico",Quarta
Spritzee,"Fada","Investida, Raio Psíquico",Quarta
Aromatisse,"Fada","Investida, Raio Psíquico",Quarta
Swirlix,"Fada","Investida, Raio Psíquico",Quarta
Slurpuff,"Fada","Investida, Raio Psíquico",Quarta
Inkay,"Noturno, Psíquico","Punho Sombrio, Confusão",Quarta
Malamar,"Noturno, Psíquico","Punho Sombrio, Confusão",Quarta
Binacle,"Pedra, Água","Investida de Pedra, Surf",Quarta
Barbaracle,"Pedra, Água","Investida de Pedra, Surf",Quarta
Skrelp,"Água, Venenoso","Surf, Investida de Ácido",Quarta
Dragalge,"Água, Venenoso","Surf, Investida de Ácido",Quarta
Clauncher,"Água","Surf, Jato de Água",Quarta
Clawitzer,"Água","Surf, Jato de Água",Quarta
Helioptile,"Elétrico, Normal","Raio Veloz, Investida",Quarta
Heliolisk,"Elétrico, Normal","Raio Veloz, Investida",Quarta
Tyrunt,"Pedra, Dragão","Pedra Afiada, Garra Dragônica",Quarta
Tyrantrum,"Pedra, Dragão","Pedra Afiada, Garra Dragônica",Quarta
Amaura,"Pedra, Gelo","Pedra Afiada, Raio de Gelo",Quarta
Aurorus,"Pedra, Gelo","Pedra Afiada, Raio de Gelo",Quarta
Sylveon,"Fada","Investida, Raio Psíquico",Quarta
Hawlucha,"Lutador, Voador","Soco Dinâmico, Vento Cortante",Quarta
Dedenne,"Elétrico, Fada","Raio Veloz, Investida de Ácido",Quarta
Carbink,"Pedra, Fada","Pedra Afiada, Raio Psíquico",Quarta
Goomy,"Dragão","Garra Dragônica, Investida de Pedra",Quarta
Sliggoo,"Dragão","Garra Dragônica, Investida de Pedra",Quarta
Goodra,"Dragão","Garra Dragônica, Investida de Pedra",Quarta
Klefki,"Aço, Fada","Investida de Pedra, Raio Psíquico",Quarta
Phantump,"Fantasma, Planta","Bola Sombria, Investida de Folhas",Quarta
Trevenant,"Fantasma, Planta","Bola Sombria, Investida de Folhas",Quarta
Pumpkaboo,"Fantasma, Planta","Bola Sombria, Investida de Folhas",Quarta
Gourgeist,"Fantasma, Planta","Bola Sombria, Investida de Folhas",Quarta
Bergmite,"Gelo","Raio de Gelo, Confusão",Quarta
Avalugg,"Gelo","Raio de Gelo, Confusão",Quarta
Noibat,"Voador, Dragão","Investida, Vento Cortante",Quarta
Noivern,"Voador, Dragão","Investida, Vento Cortante",Quarta
Xerneas,"Fada","Investida, Raio Psíquico",Quarta
Yveltal,"Noturno, Voador","Punho Sombrio, Vento Cortante",Quarta
Zygarde,"Terrestre, Dragão","Investida de Pedra, Garra Dragônica",Quarta
Diancie,"Pedra, Fada","Pedra Afiada, Raio Psíquico",Quarta
Hoopa,"Psíquico, Fantasma","Confusão, Bola Sombria",Quarta
Volcanion,"Fogo, Água","Chama, Surf",Quarta
Rowlet,"Planta, Voador","Raio Solar, Vento Cortante",Quarta
Dartrix,"Planta, Voador","Raio Solar, Vento Cortante",Quarta
Decidueye,"Planta, Fantasma","Raio Solar, Bola Sombria",Quarta
Litten,"Fogo","Chama, Investida de Fogo",Quarta
Torracat,"Fogo","Chama, Investida de Fogo",Quarta
Incineroar,"Fogo, Noturno","Chama, Investida de Fogo",Quarta
Popplio,"Água","Surf, Jato de Água",Quarta
Brionne,"Água","Surf, Jato de Água",Quarta
Primarina,"Água, Fada","Surf, Investida de Ácido",Quarta
Pikipek,"Normal, Voador","Investida, Vento Cortante",Quarta
Trumbeak,"Normal, Voador","Investida, Vento Cortante",Quarta
Toucannon,"Normal, Voador","Investida, Vento Cortante",Quarta
Yungoos,"Normal","Investida, Mordida",Quarta
Gumshoos,"Normal","Investida, Mordida",Quarta
Grubbin,"Inseto","Investida, Agulha Dupla",Quarta
Charjabug,"Inseto, Elétrico","Investida, Raio Veloz",Quarta
Vikavolt,"Inseto, Elétrico","Investida, Raio Veloz",Quarta
Crabrawler,"Lutador","Soco Dinâmico, Investida de Ácido",Quarta
Crabominable,"Lutador, Gelo","Soco Dinâmico, Raio de Gelo",Quarta
Oricorio,"Elétrico, Voador","Raio Veloz, Vento Cortante",Quarta
Cutiefly,"Inseto, Fada","Investida, Raio Psíquico",Quarta
Ribombee,"Inseto, Fada","Investida, Raio Psíquico",Quarta
Rockruff,"Pedra","Pedra Afiada, Investida",Quarta
Lycanroc,"Pedra","Pedra Afiada, Investida",Quarta
Wishiwashi,"Água","Surf, Jato de Água",Quarta
Mareanie,"Água, Venenoso","Surf, Investida de Ácido",Quarta
Toxapex,"Água, Venenoso","Surf, Investida de Ácido",Quarta
Mudbray,"Terrestre","Investida de Pedra, Terremoto",Quarta
Mudsdale,"Terrestre","Investida de Pedra, Terremoto",Quarta
Dewpider,"Água, Inseto","Surf, Investida de Ácido",Quarta
Araquanid,"Água, Inseto","Surf, Investida de Ácido",Quarta
Fomantis,"Planta","Raio Solar, Investida de Folhas",Quarta
Lurantis,"Planta","Raio Solar, Investida de Folhas",Quarta
Morelull,"Planta, Venenoso","Raio Solar, Investida de Ácido",Quarta
Shiinotic,"Planta, Venenoso","Raio Solar, Investida de Ácido",Quarta
Salandit,"Venenoso, Fogo","Presa Venenosa, Chama",Quarta
Salazzle,"Venenoso, Fogo","Presa Venenosa, Chama",Quarta
Stufful,"Normal, Lutador","Investida, Soco Dinâmico",Quarta
Bewear,"Normal, Lutador","Investida, Soco Dinâmico",Quarta
Bounsweet,"Planta","Raio Solar, Investida de Folhas",Quarta
Steenee,"Planta","Raio Solar, Investida de Folhas",Quarta
Tsareena,"Planta","Raio Solar, Investida de Folhas",Quarta
Comfey,"Fada","Investida, Raio Psíquico",Quarta
Oranguru,"Normal, Psíquico","Investida, Confusão",Quarta
Passimian,"Lutador","Soco Dinâmico, Investida",Quarta
Wimpod,"Água, Inseto","Surf, Investida de Ácido",Quarta
Golisopod,"Água, Inseto","Surf, Investida de Ácido",Quarta
Sandygast,"Fantasma, Terrestre","Bola Sombria, Investida de Pedra",Quarta
Palossand,"Fantasma, Terrestre","Bola Sombria, Investida de Pedra",Quarta
Pyukumuku,"Água","Surf, Jato de Água",Quarta
Type: Null,"Normal","Investida, Soco Dinâmico",Quarta
Silicobra,"Terrestre","Investida de Pedra, Terremoto",Quarta
Sandaconda,"Terrestre","Investida de Pedra, Terremoto",Quarta
Cramorant,"Voador, Água","Investida, Vento Cortante",Quarta
Toxel,"Elétrico, Venenoso","Raio Veloz, Investida de Ácido",Quarta
Toxtricity,"Elétrico, Venenoso","Raio Veloz, Investida de Ácido",Quarta
Sizzlipede,"Fogo, Inseto","Chama, Investida de Ácido",Quarta
Centiskorch,"Fogo, Inseto","Chama, Investida de Ácido",Quarta
Clobbopus,"Lutador","Soco Dinâmico, Investida",Quarta
Grapploct,"Lutador","Soco Dinâmico, Investida",Quarta
Sinistea,"Fantasma","Bola Sombria, Confusão",Quarta
Polteageist,"Fantasma","Bola Sombria, Confusão",Quarta
Hatenna,"Psíquico","Confusão, Raio Psíquico",Quarta
Hattrem,"Psíquico","Confusão, Raio Psíquico",Quarta
Hatterene,"Psíquico, Fada","Confusão, Raio Psíquico",Quarta
Impidimp,"Noturno, Fada","Punho Sombrio, Investida de Ácido",Quarta
Morgrem,"Noturno, Fada","Punho Sombrio, Investida de Ácido",Quarta
Grimmsnarl,"Noturno, Fada","Punho Sombrio, Investida de Ácido",Quarta
Obstagoon,"Noturno, Normal","Punho Sombrio, Investida",Quarta
Perrserker,"Aço","Investida, Soco Dinâmico",Quarta
Cursola,"Fantasma","Bola Sombria, Confusão",Quarta
Sirfetch'd,"Lutador","Soco Dinâmico, Investida",Quarta
Mr. Rime,"Psíquico, Gelo","Confusão, Raio de Gelo",Quarta
Runerigus,"Fantasma, Terrestre","Bola Sombria, Investida de Pedra",Quarta
Milcery,"Fada","Investida, Raio Psíquico",Quarta
Alcremie,"Fada","Investida, Raio Psíquico",Quarta
Falinks,"Lutador","Soco Dinâmico, Investida",Quarta
Pincurchin,"Elétrico","Raio Veloz, Investida de Ácido",Quarta
Snom,"Gelo, Inseto","Raio de Gelo, Investida",Quarta
Frosmoth,"Gelo, Inseto","Raio de Gelo, Investida",Quarta
Stonjourner,"Pedra","Investida de Pedra, Terremoto",Quarta
Eiscue,"Gelo","Raio de Gelo, Confusão",Quarta
Indeedee,"Psíquico, Normal","Confusão, Investida",Quarta
Morpeko,"Elétrico, Sombrio","Raio Veloz, Punho Sombrio",Quarta
Cufant,"Aço","Investida, Soco Dinâmico",Quarta
Copperajah,"Aço","Investida, Soco Dinâmico",Quarta
Dracozolt,"Elétrico, Dragão","Raio Veloz, Garra Dragônica",Quarta
Arctozolt,"Elétrico, Gelo","Raio Veloz, Raio de Gelo",Quarta
Dracovish,"Água, Dragão","Surf, Garra Dragônica",Quarta
Arctovish,"Água, Gelo","Surf, Raio de Gelo",Quarta
Duraludon,"Aço, Dragão","Investida, Garra Dragônica",Quarta
Dreepy,"Dragão, Fantasma","Garra Dragônica, Bola Sombria",Quarta
Drakloak,"Dragão, Fantasma","Garra Dragônica, Bola Sombria",Quarta
Dragapult,"Dragão, Fantasma","Garra Dragônica, Bola Sombria",Quarta
Zacian,"Fada, Aço","Investida, Soco Dinâmico",Quarta
Zamazenta,"Lutador, Aço","Soco Dinâmico, Investida",Quarta
Eternatus,"Veneno, Dragão","Presa Venenosa, Garra Dragônica",Quarta
Snivy,"Planta","Investida, Raio Solar",Quinta
Servine,"Planta","Investida, Raio Solar",Quinta
Serperior,"Planta","Investida, Raio Solar",Quinta
Tepig,"Fogo","Chama, Investida de Fogo",Quinta
Pignite,"Fogo, Lutador","Chama, Investida de Fogo",Quinta
Emboar,"Fogo, Lutador","Chama, Investida de Fogo",Quinta
Oshawott,"Água","Surf, Jato de Água",Quinta
Dewott,"Água","Surf, Jato de Água",Quinta
Samurott,"Água","Surf, Jato de Água",Quinta
Patrat,"Normal","Investida, Mordida",Quinta
Watchog,"Normal","Investida, Mordida",Quinta
Lillipup,"Normal","Investida, Mordida",Quinta
Herdier,"Normal","Investida, Mordida",Quinta
Stoutland,"Normal","Investida, Mordida",Quinta
Purrloin,"Sombrio","Punho Sombrio, Investida",Quinta
Liepard,"Sombrio","Punho Sombrio, Investida",Quinta
Pansage,"Planta","Investida, Raio Solar",Quinta
Simisage,"Planta","Investida, Raio Solar",Quinta
Pansear,"Fogo","Chama, Investida de Fogo",Quinta
Simisear,"Fogo","Chama, Investida de Fogo",Quinta
Panpour,"Água","Surf, Jato de Água",Quinta
Simipour,"Água","Surf, Jato de Água",Quinta
Munna,"Psíquico","Confusão, Raio Psíquico",Quinta
Musharna,"Psíquico","Confusão, Raio Psíquico",Quinta
Pidove,"Normal, Voador","Investida, Vento Cortante",Quinta
Tranquill,"Normal, Voador","Investida, Vento Cortante",Quinta
Unfezant,"Normal, Voador","Investida, Vento Cortante",Quinta
Blitzle,"Elétrico","Raio Veloz, Investida",Quinta
Zebstrika,"Elétrico","Raio Veloz, Investida",Quinta
Roggenrola,"Pedra","Investida de Pedra, Terremoto",Quinta
Boldore,"Pedra","Investida de Pedra, Terremoto",Quinta
Gigalith,"Pedra","Investida de Pedra, Terremoto",Quinta
Woobat,"Psíquico, Voador","Confusão, Vento Cortante",Quinta
Swoobat,"Psíquico, Voador","Confusão, Vento Cortante",Quinta
Drilbur,"Terrestre","Investida de Pedra, Terremoto",Quinta
Excadrill,"Terrestre, Metal","Investida de Pedra, Terremoto",Quinta
Audino,"Normal","Investida, Mordida",Quinta
Timburr,"Lutador","Soco Dinâmico, Investida",Quinta
Gurdurr,"Lutador","Soco Dinâmico, Investida",Quinta
Conkeldurr,"Lutador","Soco Dinâmico, Investida",Quinta
Tympole,"Água","Surf, Jato de Água",Quinta
Palpitoad,"Água, Terrestre","Surf, Terremoto",Quinta
